iter	MultiClass
0	3.472906681
1	3.332741491
2	3.202533255
3	3.087201195
4	2.981728167
5	2.885412229
6	2.797453001
7	2.711733114
8	2.637432088
9	2.56574717
10	2.502066131
11	2.443853435
12	2.387159976
13	2.335774223
14	2.285989906
15	2.237655507
16	2.191887205
17	2.151404328
18	2.113445017
19	2.076361505
20	2.041858862
21	2.009123132
22	1.978231741
23	1.946712592
24	1.9174731
25	1.888475053
26	1.861731793
27	1.835183725
28	1.811099183
29	1.787532759
30	1.765010336
31	1.74393283
32	1.723657413
33	1.704383756
34	1.695422434
35	1.676402138
36	1.659513587
37	1.642655645
38	1.626651579
39	1.610855845
40	1.595185986
41	1.579933326
42	1.566513091
43	1.552335572
44	1.538487889
45	1.524298202
46	1.511403683
47	1.499334199
48	1.487604662
49	1.475328626
50	1.464625422
51	1.452561548
52	1.441294956
53	1.430352456
54	1.420082136
55	1.414761116
56	1.40459634
57	1.394902668
58	1.38635852
59	1.383475073
60	1.374400698
61	1.36488383
62	1.355312991
63	1.346446761
64	1.344967028
65	1.336895619
66	1.328901295
67	1.320398286
68	1.313114101
69	1.305607368
70	1.298324983
71	1.291260492
72	1.28359179
73	1.276805711
74	1.270365916
75	1.262749644
76	1.25683545
77	1.250715672
78	1.244958745
79	1.238787437
80	1.232559518
81	1.226880351
82	1.220651382
83	1.214335442
84	1.208720715
85	1.202738779
86	1.197196824
87	1.191626271
88	1.185891909
89	1.180836799
90	1.176185274
91	1.17146495
92	1.166552904
93	1.162200945
94	1.157712893
95	1.152589696
96	1.147954691
97	1.143398856
98	1.139382405
99	1.135028
100	1.130692183
101	1.12694611
102	1.122807632
103	1.118642724
104	1.11442088
105	1.110557975
106	1.106184333
107	1.101979232
108	1.098321767
109	1.09430138
110	1.090554359
111	1.086646781
112	1.082992298
113	1.079576802
114	1.076168161
115	1.07283829
116	1.069483129
117	1.066233147
118	1.062687484
119	1.05938216
120	1.055867464
121	1.05245157
122	1.049393312
123	1.046245936
124	1.043204267
125	1.040387517
126	1.037395079
127	1.034035998
128	1.031134471
129	1.028341034
130	1.025554111
131	1.022531835
132	1.019791158
133	1.017074234
134	1.014503998
135	1.011891222
136	1.009276948
137	1.006614356
138	1.003875256
139	1.001354734
140	0.9989360063
141	0.9965253615
142	0.9939799761
143	0.9910669854
144	0.9887044194
145	0.9858014623
146	0.9834128831
147	0.9810624807
148	0.9786309645
149	0.9759485837
150	0.9737521025
151	0.9715530885
152	0.9695403853
153	0.9671803391
154	0.9649534513
155	0.9626012576
156	0.9607729785
157	0.9588087236
158	0.9570598723
159	0.9550322316
160	0.9528929427
161	0.9508643675
162	0.9487380692
163	0.9468353928
164	0.9445715991
165	0.9426172481
166	0.9407595745
167	0.9389179844
168	0.9369864948
169	0.9351308287
170	0.9333073846
171	0.9313448318
172	0.9293948374
173	0.9276225354
174	0.9259113371
175	0.9239670819
176	0.9223851847
177	0.9207361759
178	0.9188821345
179	0.9170954546
180	0.9156089461
181	0.9140007785
182	0.9120706173
183	0.9104989593
184	0.9088191933
185	0.9071830154
186	0.9058653403
187	0.9042489963
188	0.9027079913
189	0.9010715786
190	0.8992461965
191	0.8977221555
192	0.8960313729
193	0.8943328965
194	0.8929083911
195	0.891462571
196	0.8900435022
197	0.8886087872
198	0.8871983604
199	0.8856646225
200	0.8842163181
201	0.8828338576
202	0.8814798498
203	0.879996613
204	0.8787150921
205	0.8773548313
206	0.8762488703
207	0.875053002
208	0.8737236971
209	0.8725009568
210	0.8710463685
211	0.869539966
212	0.8682629855
213	0.8671031329
214	0.8656619317
215	0.8644472345
216	0.8630977656
217	0.8617755233
218	0.8605785364
219	0.8594264011
220	0.8582779427
221	0.8569473524
222	0.8558215477
223	0.8546556243
224	0.8535665561
225	0.8526297546
226	0.8516476444
227	0.8504000673
228	0.8492838053
229	0.8483562139
230	0.8474057229
231	0.846413674
232	0.8453244915
233	0.8442470285
234	0.8432720583
235	0.8423294538
236	0.8413895397
237	0.8403899238
238	0.8395620295
239	0.8384854951
240	0.8375242437
241	0.8365292914
242	0.8355558106
243	0.834751962
244	0.833802508
245	0.8327723283
246	0.8318022389
247	0.8308284793
248	0.8298385213
249	0.8289129355
250	0.8280831615
251	0.8271420915
252	0.82613715
253	0.82532842
254	0.824422667
255	0.8234597906
256	0.8224556276
257	0.8216796668
258	0.8209564792
259	0.8201316504
260	0.8193255772
261	0.8184072228
262	0.8175940873
263	0.8169229486
264	0.815982473
265	0.8150036381
266	0.8142309439
267	0.8133181646
268	0.8125325599
269	0.8116568289
270	0.8108772789
271	0.8100800784
272	0.8093972156
273	0.8086440645
274	0.807925712
275	0.8072041569
276	0.8065110831
277	0.8055998209
278	0.8049466753
279	0.8040986632
280	0.8034128549
281	0.8028099624
282	0.8019956211
283	0.8012695462
284	0.800599337
285	0.7997978568
286	0.7992074435
287	0.7984572536
288	0.7979077381
289	0.797290198
290	0.7966016842
291	0.7960091898
292	0.7951732358
293	0.7946734736
294	0.7939868334
295	0.7930694589
296	0.7923367149
297	0.791604112
298	0.7907942034
299	0.7902385907
300	0.7896284711
301	0.7891041498
302	0.7884537636
303	0.7879138595
304	0.7872513747
305	0.786561355
306	0.7859226795
307	0.785288411
308	0.7847467488
309	0.7841438922
310	0.7835495585
311	0.7829285399
312	0.782351815
313	0.7818878105
314	0.7813826146
315	0.780805255
316	0.7803137167
317	0.7797259319
318	0.7792243606
319	0.7785887511
320	0.777952176
321	0.7773231615
322	0.7765291966
323	0.7759629197
324	0.7755084509
325	0.7749783885
326	0.7744099939
327	0.7738666896
328	0.7733671643
329	0.7728647584
330	0.772291828
331	0.7716755959
332	0.7711602987
333	0.7706259354
334	0.7700474408
335	0.7694811821
336	0.76895096
337	0.7684496215
338	0.7680506596
339	0.7676347529
340	0.767136551
341	0.7667241081
342	0.7661770037
343	0.7657770398
344	0.7651923405
345	0.7648546771
346	0.7643318229
347	0.7638298626
348	0.7634107455
349	0.7629557224
350	0.7625077977
351	0.7621389017
352	0.761762459
353	0.7612302479
354	0.7606437239
355	0.7600740194
356	0.7596479653
357	0.7592772201
358	0.7586848905
359	0.7582553606
360	0.7577147271
361	0.7572775317
362	0.756831766
363	0.7564379999
364	0.756041254
365	0.7556890834
366	0.7553328414
367	0.7548749825
368	0.7544735433
369	0.7541407842
370	0.7536781065
371	0.7533248184
372	0.7528756402
373	0.7524488251
374	0.7519769497
375	0.7514258795
376	0.7511542074
377	0.750643226
378	0.7502644887
379	0.7498903997
380	0.7495355326
381	0.749120471
382	0.7486869062
383	0.7481715101
384	0.7478206628
385	0.7474421499
386	0.7470397588
387	0.7467418158
388	0.7463346709
389	0.7458245929
390	0.7454422113
391	0.7450297096
392	0.7446205635
393	0.7443255833
394	0.7439674466
395	0.7435543427
396	0.7431948588
397	0.7428953812
398	0.7426019072
399	0.742246029
400	0.7419146496
401	0.7415862442
402	0.7412122099
403	0.7408797526
404	0.7405280608
405	0.7401787518
406	0.7399195883
407	0.7396349003
408	0.7392466469
409	0.7389680904
410	0.7387151153
411	0.7384153507
412	0.7379876944
413	0.7376397387
414	0.737320662
415	0.7369799641
416	0.7366393152
417	0.7363937385
418	0.7361405772
419	0.7357967201
420	0.7354153278
421	0.735120565
422	0.7348730802
423	0.7346022289
424	0.7343525324
425	0.7340247631
426	0.7337859546
427	0.7335169179
428	0.733266967
429	0.7329831835
430	0.7327067135
431	0.7323549907
432	0.7319381154
433	0.7315530961
434	0.7313310045
435	0.7309512448
436	0.7307660782
437	0.7304489295
438	0.7302682661
439	0.7299594313
440	0.7296412308
441	0.7294093094
442	0.7290961187
443	0.7288657957
444	0.7285614206
445	0.7282030702
446	0.7279695923
447	0.7276907949
448	0.7274782037
449	0.7272225743
450	0.7270110004
451	0.7267069212
452	0.726416933
453	0.7261544966
454	0.725901075
455	0.7256350125
456	0.725312769
457	0.7250006447
458	0.7246994985
