iter	Passed	Remaining
0	160	160006
1	190	94973
2	221	73722
3	250	62338
4	279	55536
5	308	51039
6	340	48238
7	369	45855
8	400	44116
9	431	42737
10	462	41618
11	494	40728
12	526	39996
13	558	39343
14	588	38651
15	618	38026
16	647	37467
17	676	36908
18	704	36398
19	732	35879
20	762	35524
21	792	35247
22	824	35034
23	857	34877
24	887	34617
25	917	34377
26	947	34145
27	979	34010
28	1007	33733
29	1036	33512
30	1064	33277
31	1092	33047
32	1127	33042
33	1155	32835
34	1163	32077
35	1193	31963
36	1228	31962
37	1260	31916
38	1290	31797
39	1320	31694
40	1349	31560
41	1380	31484
42	1413	31449
43	1444	31374
44	1472	31241
45	1501	31135
46	1532	31080
47	1564	31020
48	1594	30955
49	1626	30898
50	1656	30831
51	1686	30738
52	1714	30630
53	1743	30537
54	1773	30466
55	1783	30058
56	1813	29994
57	1845	29966
58	1876	29935
59	1885	29533
60	1915	29480
61	1942	29388
62	1971	29328
63	2002	29292
64	2008	28897
65	2042	28906
66	2074	28884
67	2103	28830
68	2134	28794
69	2163	28737
70	2192	28687
71	2220	28623
72	2251	28590
73	2283	28580
74	2317	28585
75	2347	28538
76	2378	28505
77	2409	28479
78	2440	28457
79	2471	28422
80	2502	28392
81	2533	28358
82	2566	28349
83	2598	28340
84	2630	28318
85	2661	28286
86	2692	28251
87	2724	28234
88	2754	28195
89	2783	28146
90	2811	28087
91	2839	28029
92	2869	27989
93	2899	27950
94	2929	27904
95	2960	27878
96	2992	27854
97	3021	27808
98	3049	27755
99	3079	27718
100	3107	27663
101	3137	27618
102	3168	27590
103	3199	27566
104	3229	27527
105	3259	27490
106	3291	27467
107	3320	27426
108	3347	27360
109	3377	27327
110	3407	27294
111	3437	27251
112	3468	27226
113	3499	27200
114	3531	27180
115	3563	27156
116	3591	27108
117	3620	27064
118	3650	27027
119	3679	26984
120	3707	26932
121	3737	26895
122	3767	26861
123	3800	26849
124	3829	26805
125	3857	26760
126	3886	26713
127	3919	26698
128	3949	26664
129	3978	26624
130	4008	26592
131	4043	26587
132	4075	26566
133	4105	26529
134	4133	26485
135	4162	26446
136	4192	26412
137	4221	26368
138	4250	26330
139	4282	26304
140	4310	26260
141	4338	26216
142	4368	26179
143	4398	26145
144	4429	26116
145	4459	26086
146	4489	26049
147	4518	26014
148	4547	25972
149	4576	25933
150	4605	25896
151	4635	25858
152	4665	25830
153	4694	25788
154	4723	25748
155	4751	25709
156	4780	25670
157	4813	25651
158	4840	25603
159	4868	25559
160	4898	25525
161	4929	25499
162	4957	25454
163	4988	25430
164	5018	25398
165	5048	25361
166	5079	25336
167	5108	25298
168	5136	25256
169	5169	25239
170	5200	25212
171	5228	25171
172	5260	25145
173	5291	25119
174	5320	25081
175	5350	25049
176	5378	25008
177	5407	24973
178	5436	24935
179	5465	24898
180	5496	24869
181	5523	24823
182	5552	24790
183	5582	24758
184	5615	24737
185	5643	24695
186	5673	24665
187	5704	24640
188	5734	24606
189	5761	24562
190	5790	24524
191	5821	24499
192	5853	24474
193	5882	24437
194	5911	24404
195	5942	24378
196	5971	24341
197	6002	24311
198	6032	24280
199	6062	24249
200	6092	24217
201	6122	24185
202	6151	24153
203	6182	24123
204	6212	24093
205	6241	24058
206	6273	24032
207	6303	24000
208	6335	23977
209	6364	23942
210	6396	23918
211	6426	23887
212	6454	23847
213	6483	23813
214	6514	23785
215	6542	23745
216	6572	23716
217	6600	23677
218	6633	23655
219	6664	23629
220	6693	23594
221	6725	23567
222	6752	23528
223	6782	23495
224	6811	23463
225	6839	23424
226	6869	23392
227	6899	23362
228	6927	23323
229	6956	23288
230	6985	23255
231	7014	23220
232	7043	23185
233	7072	23151
234	7102	23121
235	7132	23089
236	7162	23059
237	7192	23028
238	7224	23002
239	7256	22980
240	7286	22947
241	7334	22972
242	7373	22970
243	7404	22942
244	7437	22919
245	7465	22881
246	7493	22843
247	7522	22811
248	7549	22768
249	7576	22728
250	7603	22689
251	7630	22647
252	7657	22608
253	7688	22580
254	7716	22544
255	7747	22516
256	7775	22478
257	7804	22445
258	7832	22408
259	7859	22370
260	7888	22336
261	7920	22309
262	7950	22278
263	7995	22289
264	8030	22274
265	8061	22245
266	8091	22214
267	8120	22180
268	8148	22142
269	8177	22108
270	8205	22072
271	8234	22039
272	8262	22001
273	8290	21965
274	8319	21932
275	8349	21901
276	8377	21865
277	8403	21826
278	8432	21792
279	8465	21767
280	8492	21729
281	8519	21690
282	8546	21654
283	8575	21618
284	8607	21593
285	8635	21558
286	8663	21523
287	8690	21485
288	8718	21448
289	8744	21409
290	8772	21374
291	8800	21338
292	8831	21309
293	8858	21273
294	8886	21236
295	8914	21202
296	8943	21169
297	8975	21144
298	9006	21114
299	9033	21077
300	9060	21040
301	9087	21003
302	9116	20970
303	9148	20944
304	9175	20907
305	9203	20873
306	9232	20840
307	9260	20807
308	9291	20779
309	9320	20745
310	9348	20711
311	9377	20678
312	9406	20645
313	9434	20611
314	9461	20575
315	9489	20541
316	9519	20509
317	9547	20477
318	9575	20441
319	9603	20407
320	9634	20379
321	9664	20350
322	9695	20322
323	9726	20293
324	9755	20261
325	9783	20227
326	9815	20200
327	9843	20166
328	9872	20136
329	9901	20102
330	9928	20067
331	9959	20038
332	9988	20007
333	10016	19972
334	10044	19938
335	10071	19903
336	10100	19871
337	10130	19840
338	10157	19805
339	10186	19774
340	10218	19747
341	10246	19714
342	10275	19682
343	10307	19656
344	10336	19623
345	10363	19588
346	10392	19557
347	10421	19525
348	10450	19493
349	10480	19464
350	10509	19432
351	10538	19399
352	10567	19368
353	10598	19341
354	10626	19306
355	10655	19275
356	10683	19241
357	10712	19210
358	10742	19180
359	10769	19146
360	10798	19113
361	10827	19082
362	10856	19051
363	10884	19017
364	10913	18985
365	10940	18952
366	10969	18919
367	11001	18893
368	11029	18860
369	11058	18828
370	11088	18799
371	11119	18771
372	11145	18734
373	11176	18707
374	11204	18674
375	11232	18641
376	11261	18610
377	11290	18578
378	11322	18551
379	11350	18519
380	11380	18490
381	11410	18459
382	11436	18423
383	11463	18389
384	11492	18357
385	11522	18327
386	11552	18299
387	11583	18271
388	11610	18237
389	11639	18205
390	11669	18175
391	11698	18145
392	11726	18112
393	11756	18082
394	11785	18051
395	11815	18020
396	11841	17986
397	11868	17952
398	11896	17918
399	11921	17882
400	11950	17851
401	11979	17820
402	12009	17790
403	12036	17757
404	12065	17726
405	12090	17689
406	12117	17655
407	12144	17621
408	12170	17586
409	12197	17552
410	12224	17518
411	12252	17486
412	12278	17452
413	12306	17419
414	12333	17385
415	12359	17351
416	12385	17316
417	12414	17284
418	12442	17253
419	12468	17218
420	12494	17183
421	12521	17150
422	12550	17120
423	12576	17085
424	12604	17052
425	12631	17020
426	12657	16985
427	12685	16953
428	12711	16918
429	12739	16887
430	12765	16853
431	12792	16820
432	12820	16788
433	12847	16755
434	12874	16722
435	12903	16691
436	12931	16660
437	12958	16627
438	12985	16593
439	13011	16560
440	13039	16528
441	13065	16494
442	13091	16460
443	13118	16427
444	13144	16394
445	13171	16360
446	13197	16326
447	13224	16294
448	13251	16261
449	13279	16230
450	13306	16198
451	13334	16166
452	13362	16135
453	13389	16103
454	13417	16071
455	13442	16036
456	13468	16002
457	13494	15968
458	13521	15937
459	13550	15907
460	13578	15876
461	13604	15842
462	13631	15810
463	13659	15778
464	13686	15746
465	13713	15714
466	13740	15682
467	13768	15651
468	13794	15618
469	13819	15583
470	13846	15551
471	13872	15517
472	13902	15489
473	13929	15457
474	13955	15424
475	13983	15394
476	14010	15361
477	14039	15331
478	14066	15299
479	14093	15268
480	14118	15234
481	14145	15201
482	14175	15173
483	14202	15141
484	14229	15109
485	14257	15078
486	14285	15048
487	14310	15014
488	14337	14982
489	14363	14950
490	14391	14918
491	14418	14887
492	14444	14854
493	14470	14821
494	14497	14790
495	14525	14759
496	14554	14729
497	14581	14698
498	14608	14667
499	14634	14634
500	14660	14601
501	14685	14568
502	14712	14537
503	14738	14504
504	14764	14472
505	14790	14439
506	14819	14410
507	14846	14379
508	14872	14346
509	14900	14316
510	14925	14283
511	14952	14251
512	14979	14220
513	15006	14189
514	15034	14158
515	15060	14126
516	15088	14095
517	15113	14063
518	15142	14033
519	15169	14002
520	15196	13971
521	15221	13938
522	15248	13907
523	15274	13875
524	15302	13844
525	15328	13813
526	15357	13784
527	15384	13752
528	15410	13721
529	15438	13690
530	15464	13659
531	15491	13627
532	15518	13596
533	15545	13566
534	15572	13535
535	15600	13505
536	15627	13474
537	15654	13443
538	15681	13412
539	15707	13380
540	15735	13350
541	15764	13321
542	15790	13289
543	15817	13258
544	15843	13227
545	15872	13197
546	15898	13166
547	15923	13134
548	15953	13105
549	15983	13077
550	16012	13048
551	16038	13016
552	16067	12987
553	16094	12957
554	16121	12926
555	16146	12894
556	16172	12862
557	16199	12831
558	16226	12801
559	16254	12771
560	16281	12740
561	16307	12709
562	16334	12678
563	16361	12648
564	16390	12618
565	16419	12590
566	16445	12558
567	16471	12527
568	16497	12496
569	16525	12466
570	16555	12438
571	16580	12406
572	16607	12375
573	16634	12345
574	16660	12314
575	16687	12284
576	16717	12255
577	16743	12224
578	16771	12194
579	16800	12166
580	16828	12136
581	16853	12104
582	16879	12073
583	16906	12042
584	16932	12012
585	16958	11981
586	16984	11950
587	17012	11920
588	17039	11890
589	17066	11859
590	17092	11828
591	17118	11798
592	17146	11768
593	17173	11737
594	17197	11706
595	17226	11676
596	17253	11647
597	17280	11616
598	17306	11585
599	17332	11555
600	17360	11525
601	17386	11494
602	17413	11464
603	17443	11436
604	17469	11406
605	17496	11375
606	17525	11346
607	17552	11316
608	17580	11287
609	17608	11257
610	17635	11228
611	17662	11197
612	17687	11166
613	17714	11136
614	17740	11106
615	17768	11076
616	17794	11046
617	17821	11016
618	17848	10985
619	17876	10956
620	17902	10926
621	17930	10896
622	17957	10866
623	17983	10836
624	18010	10806
625	18038	10776
626	18063	10746
627	18090	10716
628	18117	10686
629	18142	10655
630	18169	10625
631	18195	10594
632	18221	10564
633	18247	10534
634	18275	10504
635	18301	10474
636	18328	10444
637	18354	10414
638	18380	10384
639	18408	10354
640	18435	10325
641	18460	10294
642	18488	10265
643	18515	10235
644	18542	10205
645	18571	10176
646	18597	10146
647	18621	10115
648	18647	10085
649	18675	10056
650	18702	10026
651	18730	9997
652	18755	9966
653	18782	9937
654	18808	9906
655	18835	9877
656	18863	9847
657	18889	9817
658	18916	9788
659	18942	9758
660	18968	9728
661	18997	9699
662	19024	9669
663	19050	9639
664	19078	9610
665	19105	9581
666	19133	9552
667	19158	9521
668	19185	9492
669	19212	9462
670	19239	9433
671	19264	9403
672	19293	9374
673	19319	9344
674	19347	9315
675	19375	9286
676	19403	9257
677	19428	9227
678	19454	9197
679	19481	9167
680	19508	9138
681	19535	9108
682	19562	9079
683	19586	9048
684	19615	9020
685	19643	8991
686	19671	8962
687	19697	8932
688	19723	8902
689	19753	8874
690	19778	8844
691	19806	8815
692	19833	8786
693	19860	8756
694	19885	8726
695	19912	8697
696	19938	8667
697	19966	8638
698	19991	8608
699	20019	8579
700	20045	8550
701	20071	8520
702	20099	8491
703	20125	8461
704	20152	8432
705	20180	8403
706	20209	8375
707	20236	8346
708	20266	8317
709	20294	8289
710	20323	8260
711	20349	8231
712	20379	8203
713	20407	8174
714	20434	8145
715	20464	8117
716	20491	8088
717	20518	8058
718	20544	8029
719	20573	8000
720	20601	7971
721	20626	7942
722	20653	7912
